features_suite,features_bedroom,total_area,original_address_neighborhood,state_name,features_garage,features_bathroom,city_raw,transaction_sale,original_address_longitude,original_address_latitude,sqrmeter_price_area_sale
0,0,500.0,Boa Viagem,Rio de Janeiro,0,0,Niterói,5300000.0,-43.1308816,-22.9081492,10600.0
0,0,297.0,Icaraí,Rio de Janeiro,0,0,Niterói,1390000.0,-43.1043205,-22.90728,4680.13468013468
0,0,140.0,Badu,Rio de Janeiro,0,0,Niterói,640000.0,-43.0634995,-22.9076004,4571.428571428572
0,0,130.0,Itaipu,Rio de Janeiro,0,0,Niterói,1000000.0,-43.0291246,-22.9561305,7692.307692307692
0,0,40.0,Centro,Rio de Janeiro,0,0,Niterói,120000.0,-43.1207515,-22.8941569,3000.0
0,0,141.0,Icaraí,Rio de Janeiro,0,0,Niterói,795000.0,-43.1002159,-22.9075489,5638.297872340426
0,0,100.0,Sapê,Rio de Janeiro,0,0,Niterói,340000.0,-43.0536118,-22.8921967,3400.0
0,0,113.0,Badu,Rio de Janeiro,0,0,Niterói,550000.0,-43.0514353,-22.9047233,4867.256637168141
0,0,160.0,Icaraí,Rio de Janeiro,0,0,Niterói,980000.0,-43.1041336,-22.9085979,6125.0
0,0,320.0,Icaraí,Rio de Janeiro,0,0,Niterói,1400000.0,-43.1093638,-22.9043971,4375.0
0,0,178.0,Icaraí,Rio de Janeiro,0,0,Niterói,950000.0,-43.0993881,-22.903265,5337.078651685393
0,0,220.0,São Francisco,Rio de Janeiro,0,0,Niterói,1500000.0,-43.0836563,-22.9162712,6818.181818181818
0,0,30.0,Centro,Rio de Janeiro,0,0,Niterói,130000.0,-43.1189486,-22.8938576,4333.333333333333
0,0,297.0,Camboinhas,Rio de Janeiro,0,0,Niterói,3100000.0,-43.0603086,-22.9549436,10437.710437710437
0,0,180.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,650000.0,-43.0985184,-22.8987588,3611.1111111111113
0,0,90.0,Fonseca,Rio de Janeiro,0,0,Niterói,400000.0,-43.0928535,-22.8812847,4444.444444444444
0,0,200.0,Icaraí,Rio de Janeiro,0,0,Niterói,650000.0,-43.1093638,-22.9043971,3250.0
0,0,305.0,Piratininga,Rio de Janeiro,0,0,Niterói,3300000.0,-43.1258163,-22.9065018,10819.672131147541
0,0,200.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,1290000.0,-43.0985184,-22.8987588,6450.0
0,0,196.0,Icaraí,Rio de Janeiro,0,0,Niterói,1900000.0,-43.1096916,-22.9022903,9693.877551020409
0,0,55.0,Ingá,Rio de Janeiro,0,0,Niterói,600000.0,-43.122074,-22.902957,10909.09090909091
0,0,730.0,Icaraí,Rio de Janeiro,0,0,Niterói,7980000.0,-43.1202049,-22.9054394,10931.506849315068
0,0,400.0,Icaraí,Rio de Janeiro,0,0,Niterói,4800000.0,-43.115078,-22.9026012,12000.0
0,0,201.0,Charitas,Rio de Janeiro,0,0,Niterói,2600000.0,-43.0967751,-22.9292889,12935.323383084577
0,0,188.0,Icaraí,Rio de Janeiro,0,0,Niterói,1100000.0,-43.1050911,-22.9082966,5851.063829787234
0,0,200.0,Icaraí,Rio de Janeiro,0,0,Niterói,690000.0,-43.1039543,-22.9099007,3450.0
0,0,145.0,Icaraí,Rio de Janeiro,0,0,Niterói,1400000.0,-43.1093638,-22.9043971,9655.172413793103
0,0,180.0,São Francisco,Rio de Janeiro,0,0,Niterói,1150000.0,-43.0942955,-22.9188347,6388.888888888889
0,0,35.0,Centro,Rio de Janeiro,0,0,Niterói,130000.0,-43.1207515,-22.8941569,3714.285714285714
0,0,200.0,Icaraí,Rio de Janeiro,0,0,Niterói,937000.0,-43.1049995,-22.9112644,4685.0
0,0,220.0,Icaraí,Rio de Janeiro,0,0,Niterói,1990000.0,-43.114048,-22.903532,9045.454545454546
0,0,216.0,Itaipu,Rio de Janeiro,0,0,Niterói,950000.0,-43.0291246,-22.9561305,4398.148148148148
0,0,121.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,850000.0,-43.0996208,-22.8939667,7024.793388429752
0,0,145.0,Barreto,Rio de Janeiro,0,0,Niterói,788000.0,-43.0961533,-22.8628387,5434.482758620689
0,0,150.0,Maceió,Rio de Janeiro,0,0,Niterói,590000.0,-43.0658989,-22.9146004,3933.3333333333335
0,0,100.0,Badu,Rio de Janeiro,0,0,Niterói,690000.0,-43.0506134,-22.9180489,6900.0
0,0,150.0,Barreto,Rio de Janeiro,0,0,Niterói,535000.0,-43.0951157,-22.8615646,3566.6666666666665
0,0,100.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,718000.0,-43.0996437,-22.8984299,7180.0
0,0,188.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,1390000.0,-43.0985184,-22.8987588,7393.617021276596
0,0,263.0,Camboinhas,Rio de Janeiro,0,0,Niterói,2801000.0,-43.0603086,-22.9549436,10650.19011406844
0,0,249.0,Charitas,Rio de Janeiro,0,0,Niterói,3350000.0,-43.095417,-22.9266357,13453.815261044178
0,0,180.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,650000.0,-43.0964241,-22.8977413,3611.1111111111113
0,0,150.0,Piratininga,Rio de Janeiro,0,0,Niterói,1250000.0,-43.0734134,-22.953943,8333.333333333334
0,0,150.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,650000.0,-43.0964241,-22.8977413,4333.333333333333
0,0,151.0,Maceió,Rio de Janeiro,0,0,Niterói,590000.0,-43.0658989,-22.9146004,3907.2847682119204
0,0,223.0,Camboinhas,Rio de Janeiro,0,0,Niterói,1800000.0,-43.0531006,-22.9547005,8071.748878923767
0,0,1200.0,Piratininga,Rio de Janeiro,0,0,Niterói,2200000.0,-43.0621719,-22.9368054,1833.3333333333333
0,0,140.0,Icaraí,Rio de Janeiro,0,0,Niterói,850000.0,-43.1126518,-22.9031219,6071.428571428572
0,0,122.0,Centro,Rio de Janeiro,0,0,Niterói,680000.0,-43.1136742,-22.8931332,5573.770491803279
0,0,140.0,Icaraí,Rio de Janeiro,0,0,Niterói,800000.0,-43.1004219,-22.902319,5714.285714285715
0,0,224.0,Charitas,Rio de Janeiro,0,0,Niterói,3500000.0,-43.095417,-22.9266357,15625.0
0,0,180.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,640000.0,-43.0964241,-22.8977413,3555.5555555555557
0,0,229.0,Santa Rosa,Rio de Janeiro,0,0,Niterói,735000.0,-43.0942001,-22.9039993,3209.6069868995633
0,0,140.0,Icaraí,Rio de Janeiro,0,0,Niterói,920000.0,-43.1013603,-22.9102783,6571.428571428572
0,0,200.0,Icaraí,Rio de Janeiro,0,0,Niterói,1120000.0,-43.106842,-22.9103928,5600.0
0,0,160.0,Boa Viagem,Rio de Janeiro,0,0,Niterói,1150000.0,-43.1308816,-22.9081492,7187.5
0,0,80.0,Largo da Batalha,Rio de Janeiro,0,0,Niterói,630000.0,-43.0527,-22.9195652,7875.0
0,0,220.0,Icaraí,Rio de Janeiro,0,0,Niterói,1400000.0,-43.1093638,-22.9043971,6363.636363636364
0,0,203.0,Camboinhas,Rio de Janeiro,0,0,Niterói,1800000.0,-43.0531006,-22.9547005,8866.995073891625
0,0,190.0,Cantagalo,Rio de Janeiro,0,0,Niterói,1100000.0,-43.0559136,-22.9209343,5789.473684210527
0,0,600.0,Icaraí,Rio de Janeiro,0,0,Niterói,5000000.0,-43.1127052,-22.9039459,8333.333333333334
0,0,214.0,Icaraí,Rio de Janeiro,0,0,Niterói,1780000.0,-43.1056786,-22.9071808,8317.757009345794
0,0,211.0,Icaraí,Rio de Janeiro,0,0,Niterói,710000.0,-43.1027412,-22.8992004,3364.928909952607
0,0,94.0,Piratininga,Rio de Janeiro,0,0,Niterói,605000.0,-43.0809326,-22.9525757,6436.170212765957
0,0,290.0,Piratininga,Rio de Janeiro,0,0,Niterói,2750000.0,-43.0753937,-22.9555531,9482.758620689656
0,0,240.0,Ingá,Rio de Janeiro,0,0,Niterói,2690000.0,-43.1231461,-22.9051094,11208.333333333334
0,0,220.0,Itaipu,Rio de Janeiro,0,0,Niterói,1420000.0,-43.0445786,-22.9391022,6454.545454545455
0,0,254.0,Icaraí,Rio de Janeiro,0,0,Niterói,1590000.0,-43.0988312,-22.9061089,6259.842519685039
0,0,200.0,Itaipu,Rio de Janeiro,0,0,Niterói,1400000.0,-43.0291246,-22.9561305,7000.0
0,0,284.0,Itaipu,Rio de Janeiro,0,0,Niterói,1750000.0,-43.0368843,-22.9662533,6161.971830985915
0,0,100.0,Barreto,Rio de Janeiro,0,0,Niterói,530000.0,-43.0951157,-22.8615646,5300.0
0,0,140.0,Icaraí,Rio de Janeiro,0,0,Niterói,750000.0,-43.1027412,-22.8992004,5357.142857142857
0,0,170.0,Icaraí,Rio de Janeiro,0,0,Niterói,1105000.0,-43.1053391,-22.9081764,6500.0
0,0,200.0,São Francisco,Rio de Janeiro,0,0,Niterói,1190000.0,-43.0832672,-22.9119873,5950.0
0,0,800.0,Icaraí,Rio de Janeiro,0,0,Niterói,8000000.0,-43.1093638,-22.9043971,10000.0
0,0,49.0,Ingá,Rio de Janeiro,0,0,Niterói,300000.0,-43.1178497,-22.9010563,6122.448979591837
0,0,300.0,Ingá,Rio de Janeiro,0,0,Niterói,2900000.0,-43.1152229,-22.8858967,9666.666666666666
0,0,232.0,São Francisco,Rio de Janeiro,0,0,Niterói,1100000.0,-43.0832672,-22.9119873,4741.379310344828
0,0,210.0,Badu,Rio de Janeiro,0,0,Niterói,840000.0,-43.0582008,-22.9408035,4000.0
0,0,185.0,Fonseca,Rio de Janeiro,0,0,Niterói,630000.0,-43.086048,-22.883206,3405.4054054054054
0,3,72.0,Fátima,Rio de Janeiro,1,1,Niterói,260000.0,-43.1111531,-22.893735,3611.1111111111113
0,1,35.0,Centro,Rio de Janeiro,0,1,Niterói,160000.0,-43.1188789,-22.8909475,4571.428571428572
1,3,97.0,Icaraí,Rio de Janeiro,1,2,Niterói,830000.0,-43.1078904,-22.8992957,8556.701030927836
0,3,100.0,Icaraí,Rio de Janeiro,0,1,Niterói,680000.0,-43.1127926,-22.9045642,6800.0
1,3,127.0,Icaraí,Rio de Janeiro,1,3,Niterói,630000.0,-43.1076948,-22.9061799,4960.629921259842
3,3,137.0,Charitas,Rio de Janeiro,3,3,Niterói,1600000.0,-43.0950023,-22.9263822,11678.83211678832
0,2,70.0,Ingá,Rio de Janeiro,1,2,Niterói,535000.0,-43.1227879,-22.9040453,7642.857142857143
1,3,110.0,Vital Brasil,Rio de Janeiro,2,2,Niterói,500000.0,-43.095841,-22.905135,4545.454545454545
0,2,78.0,Ingá,Rio de Janeiro,0,1,Niterói,348740.0,-43.122577,-22.899871,4471.025641025641
1,3,160.0,Icaraí,Rio de Janeiro,1,3,Niterói,1400000.0,-43.1112026,-22.9081792,8750.0
1,2,90.0,Charitas,Rio de Janeiro,1,2,Niterói,630000.0,-43.0946233,-22.9265841,7000.0
1,1,86.0,Charitas,Rio de Janeiro,2,2,Niterói,780000.0,-43.093696,-22.924915,9069.767441860466
1,4,150.0,Icaraí,Rio de Janeiro,1,2,Niterói,1700000.0,-43.1183726,-22.904233,11333.333333333334
0,3,149.0,Icaraí,Rio de Janeiro,1,3,Niterói,1050000.0,-43.1104506,-22.9071319,7046.979865771812
0,2,60.0,São Domingos,Rio de Janeiro,0,1,Niterói,320000.0,-43.1304911,-22.9027589,5333.333333333333
1,3,110.0,Icaraí,Rio de Janeiro,1,1,Niterói,700000.0,-43.1055532,-22.9115903,6363.636363636364
0,2,51.0,Ingá,Rio de Janeiro,1,2,Niterói,150000.0,-43.1208249,-22.9005533,2941.176470588235
0,2,60.0,Morro do Estado,Rio de Janeiro,3,1,Niterói,170000.0,-43.1218867,-22.9011329,2833.3333333333335
1,2,95.0,Icaraí,Rio de Janeiro,1,1,Niterói,570000.0,-43.1055912,-22.9069967,6000.0
0,2,70.0,Ingá,Rio de Janeiro,0,2,Niterói,530000.0,-43.1256202,-22.9015347,7571.428571428572
2,4,170.0,Ingá,Rio de Janeiro,2,3,Niterói,950000.0,-43.1246473,-22.9037021,5588.235294117647
0,1,35.0,Ingá,Rio de Janeiro,0,1,Niterói,380000.0,-43.1227531,-22.9042004,10857.142857142857
1,2,60.0,Icaraí,Rio de Janeiro,1,2,Niterói,400000.0,-43.1053095,-22.9108364,6666.666666666667
1,3,106.0,Icaraí,Rio de Janeiro,1,2,Niterói,995000.0,-43.1109174,-22.9078998,9386.792452830188
0,3,110.0,Ingá,Rio de Janeiro,0,1,Niterói,395000.0,-43.1224634,-22.9001491,3590.909090909091
1,3,140.0,Ingá,Rio de Janeiro,1,2,Niterói,860000.0,-43.1235341,-22.90463,6142.857142857143
0,2,60.0,Centro,Rio de Janeiro,1,1,Niterói,320000.0,-43.116881,-22.8995848,5333.333333333333
1,2,82.0,Icaraí,Rio de Janeiro,1,2,Niterói,550000.0,-43.1084393,-22.9003778,6707.317073170731
0,2,80.0,Icaraí,Rio de Janeiro,1,1,Niterói,600000.0,-43.101521,-22.908942,7500.0
1,3,130.0,Icaraí,Rio de Janeiro,1,2,Niterói,700000.0,-43.1054258,-22.9082592,5384.615384615385
0,3,120.0,Ingá,Rio de Janeiro,0,3,Niterói,532000.0,-43.1217328,-22.9024217,4433.333333333333
2,4,196.0,Charitas,Rio de Janeiro,2,4,Niterói,1450000.0,-43.0944581,-22.9245554,7397.959183673469
0,2,71.0,Santa Rosa,Rio de Janeiro,1,1,Niterói,355000.0,-43.1075927,-22.8963624,5000.0
1,2,90.0,Icaraí,Rio de Janeiro,1,3,Niterói,550000.0,-43.1005352,-22.9075764,6111.111111111111
1,3,140.0,Icaraí,Rio de Janeiro,1,2,Niterói,990000.0,-43.1126263,-22.9067792,7071.428571428572
1,4,96.0,Icaraí,Rio de Janeiro,2,3,Niterói,2100000.0,-43.1095723,-22.9022483,21875.0
0,3,100.0,Ingá,Rio de Janeiro,1,2,Niterói,500000.0,-43.1217328,-22.9024217,5000.0
1,3,200.0,Ingá,Rio de Janeiro,1,3,Niterói,950000.0,-43.1256452,-22.9014996,4750.0
1,2,80.0,Icaraí,Rio de Janeiro,1,2,Niterói,600000.0,-43.1027472,-22.9002284,7500.0
0,2,70.0,Icaraí,Rio de Janeiro,0,2,Niterói,600000.0,-43.112248,-22.905124,8571.42857142857
0,2,62.0,Ingá,Rio de Janeiro,1,2,Niterói,284000.0,-43.1181026,-22.9004391,4580.645161290323
0,2,60.0,Icaraí,Rio de Janeiro,0,1,Niterói,580000.0,-43.1043832,-22.9016429,9666.666666666666
0,3,130.0,Ingá,Rio de Janeiro,0,2,Niterói,455000.0,-43.124734,-22.9014822,3500.0
1,2,145.0,Santa Rosa,Rio de Janeiro,1,3,Niterói,790000.0,-43.1010821,-22.8982006,5448.275862068966
1,2,90.0,Icaraí,Rio de Janeiro,1,3,Niterói,650000.0,-43.1115992,-22.9045355,7222.222222222223
1,1,60.0,São Francisco,Rio de Janeiro,1,1,Niterói,580000.0,-43.0937622,-22.9194705,9666.666666666666
0,2,71.0,Ingá,Rio de Janeiro,1,1,Niterói,420000.0,-43.1267962,-22.8991465,5915.492957746479
1,2,92.0,Ingá,Rio de Janeiro,2,2,Niterói,720000.0,-43.1215055,-22.9020501,7826.086956521739
0,2,80.0,Ingá,Rio de Janeiro,1,1,Niterói,430000.0,-43.1255745,-22.9022367,5375.0
1,2,88.0,Santa Rosa,Rio de Janeiro,1,2,Niterói,380000.0,-43.0941621,-22.9039455,4318.181818181818
1,3,240.0,Icaraí,Rio de Janeiro,2,2,Niterói,1000000.0,-43.1043216,-22.90728,4166.666666666667
4,4,350.0,Ingá,Rio de Janeiro,3,4,Niterói,2000000.0,-43.1237251,-22.9013134,5714.285714285715
0,1,45.0,Boa Viagem,Rio de Janeiro,1,1,Niterói,380000.0,-43.1314356,-22.9074574,8444.444444444445
1,2,75.0,Inga,Rio de Janeiro,1,2,Niterói,595000.0,-43.12031,-22.9005101,7933.333333333333
0,2,85.0,Icaraí,Rio de Janeiro,0,1,Niterói,274000.0,-43.1023957,-22.9095502,3223.529411764706
1,2,89.0,São Francisco,Rio de Janeiro,1,2,Niterói,650000.0,-43.0836314,-22.9151139,7303.3707865168535
0,2,88.0,Icaraí,Rio de Janeiro,0,1,Niterói,500000.0,-43.1124138,-22.9006229,5681.818181818182
0,1,40.0,Icaraí,Rio de Janeiro,0,1,Niterói,355000.0,-43.1084874,-22.911577,8875.0
0,1,30.0,Icaraí,Rio de Janeiro,0,1,Niterói,340000.0,-43.11091,-22.9014049,11333.333333333334
0,4,149.0,Icaraí,Rio de Janeiro,1,2,Niterói,810000.0,-43.1109599,-22.9049555,5436.241610738255
1,3,130.0,Icaraí,Rio de Janeiro,2,3,Niterói,1150000.0,-43.104594,-22.9015999,8846.153846153846
0,2,80.0,Santa Rosa,Rio de Janeiro,0,1,Niterói,220000.0,-43.094659,-22.897884,2750.0
